"player","age","nationality","position","team","top5","minutes_90s","Fantasista","Sacrificio","Prendi_Falli","Bomber","Torre"
"Mathias Pereira Lage",26,"pt POR","FW,MF","Brest","True",13.2,-0.470362893284613,0.0540226219775712,0.517653363985674,-0.51064373842852,0.334687432381892
"Gonçalo Ramos",22,"pt POR","FW","Paris S-G","True",15.8,-0.587795318540125,-0.440983374949192,0.147360419098039,0.793209364368673,0.366531715744656
"Emmanuel Sabbi",25,"us USA","FW,MF","Le Havre","True",17.6,-0.778000848206495,0.632987768017476,1.16326656182079,-0.406101408356694,-0.130512766669199
"Wesley Saïd",28,"fr FRA","FW,MF","Lens","True",11.3,0.00933235889530499,-0.629444498824097,-0.316249297642269,0.227200346959165,0.383600228638069
"Ismaila Sarr",25,"sn SEN","FW,MF","Marseille","True",16.1,-0.115409681940764,0.518784804113969,0.76624404373847,-0.411757710179911,0.0396647093190378
"Martin Satriano",22,"uy URU","FW","Brest","True",20.7,-0.217449623918883,-0.169440601125983,-0.424334346803164,-1.09734555770747,0.634917050551067
"Moses Simon",28,"ng NGA","FW,MF","Nantes","True",19.9,0.927959206658678,-0.496486939364763,0.132966195445622,-0.660167339896444,-0.36389805404072
"Musa Al-Taamari",26,"jo JOR","FW","Montpellier","True",21.4,-0.484430778423258,0.677850673900827,2.58938882970818,-0.219497212216625,-0.382535158628084
"Martin Terrier",26,"fr FRA","FW,MF","Rennes","True",17,0.00407828309570802,-0.0941238392026061,1.09433751209451,0.605942035826003,0.182412781425257
"Cheikh Tidiane Sabaly",24,"sn SEN","FW,MF","Metz","True",15.3,-0.623791498512812,1.43629425822414,0.345580954263705,0.166744435350508,-0.447692581586059
"Kévin Van Den Kerkhof",27,"dz ALG","FW,MF","Metz","True",21.3,-0.789854723873561,0.778249729083289,-0.878774500180729,-1.12230354653635,-0.59316614754387
"Edon Zhegrova",24,"xk KVX","FW","Lille","True",25.4,1.25201646313797,0.714479738360611,-0.17142249492771,-0.747195018924438,-1.03300337445142
"Elijah Adebayo",25,"eng ENG","FW","Luton Town","True",15.8,-1.11434789352951,-1.13816620376327,-0.653270317482083,2.24240709087288,0.91440296993367
"Simon Adingra",21,"ci CIV","FW","Brighton","True",24.7,0.197516858573463,0.773728316168813,-0.676370881423866,-0.305638364994181,-0.540978601853925
"Miguel Almirón",29,"py PAR","FW","Newcastle Utd","True",21.5,-0.145687525617376,0.801724470535358,-1.02652684225849,-1.1004249274538,-0.590127676478312
"Zeki Amdouni",22,"ch SUI","FW","Burnley","True",21.7,-0.836098768398198,0.368242886167069,0.148703652636617,-0.529206987896897,-0.137641405100225
