player,age,nationality,position,team,top5,minutes_90s,Fantasista = Low,Fantasista = Average,Fantasista = High,Sacrificio = Low,Sacrificio = Average,Sacrificio = High,Prendi_Falli = Low,Prendi_Falli = Average,Prendi_Falli = High,Bomber = Low,Bomber = Average,Bomber = High,Torre = Low,Torre = Average,Torre = High
Myrto Uzuni,28,al ALB,FW,Granada,True,27.2,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
Iñaki Williams,29,gh GHA,FW,Athletic Club,True,31.6,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False
Nico Williams,21,es ESP,FW,Athletic Club,True,25.1,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False
Lamine Yamal,16,es ESP,FW,Barcelona,True,24.5,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False
Roman Yaremchuk,27,ua UKR,FW,Valencia,True,10.3,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True
Matthis Abline,20,fr FRA,FW,Nantes,True,11.6,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False
Akor Adams,23,ng NGA,FW,Montpellier,True,25.0,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True
Hákon Arnar Haraldsson,20,is ISL,"FW,MF",Lille,True,14.3,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False
Pierre-Emerick Aubameyang,34,ga GAB,FW,Marseille,True,29.1,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
Dilane Bakwa,20,fr FRA,"FW,MF",Strasbourg,True,24.2,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False
Folarin Balogun,22,us USA,FW,Monaco,True,18.8,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False
Wissam Ben Yedder,32,fr FRA,FW,Monaco,True,25.7,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False
Ludovic Blas,25,fr FRA,"FW,MF",Rennes,True,17.4,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False
Jeremie Boga,26,ci CIV,FW,Nice,True,22.2,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False
Ângelo Borges,18,br BRA,"FW,MF",Strasbourg,True,12.2,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False
Bilal Boutobba,24,fr FRA,"FW,MF",Clermont Foot,True,10.3,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False
Rémy Cabella,33,fr FRA,"FW,MF",Lille,True,16.4,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False
Thijs Dallinga,22,nl NED,FW,Toulouse,True,27.9,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True
Mohammed Daramy,21,dk DEN,"FW,MF",Reims,True,18.3,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
Jonathan David,23,ca CAN,FW,Lille,True,29.2,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False
Romain Del Castillo,27,fr FRA,FW,Brest,True,27.7,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False
Oumar Diakité,19,ci CIV,FW,Reims,True,17.6,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False
Aron Dønnum,25,no NOR,"FW,MF",Toulouse,True,17.7,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False
Emanuel Emegha,20,nl NED,FW,Strasbourg,True,23.1,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True
Khalil Fayad,19,fr FRA,"FW,MF",Montpellier,True,11.4,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False
Kévin Gameiro,36,fr FRA,"FW,MF",Strasbourg,True,15.0,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False
Amine Gouiri,23,dz ALG,"FW,MF",Rennes,True,23.0,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
Evann Guessand,22,ci CIV,FW,Nice,True,17.3,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True
Junya Ito,30,jp JPN,"FW,MF",Reims,True,30.2,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False
Eli Junior Kroupi,17,fr FRA,"FW,MF",Lorient,True,12.0,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False
Arnaud Kalimuendo,21,fr FRA,FW,Rennes,True,23.8,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False
Lee Kang-in,22,kr KOR,"FW,MF",Paris S-G,True,16.3,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False
Reda Khadra,22,de GER,"FW,MF",Reims,True,15.2,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False
Wahbi Khazri,32,tn TUN,FW,Montpellier,True,12.6,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False
Grejohn Kyei,27,fr FRA,FW,Clermont Foot,True,11.4,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True
Gaëtan Laborde,29,fr FRA,"FW,MF",Nice,True,21.2,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False
Alexandre Lacazette,32,fr FRA,FW,Lyon,True,25.5,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False
Mohamed Lamine Bayo,25,gn GUI,FW,Le Havre,True,15.4,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True
Jérémy Le Douaron,25,fr FRA,FW,Brest,True,18.0,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True
Frank Magri,23,cm CMR,"FW,MF",Toulouse,True,16.0,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True
Kylian Mbappé,24,fr FRA,FW,Paris S-G,True,24.0,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False
Georges Mikautadze,22,ge GEO,FW,Metz,True,19.4,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False
Terem Moffi,24,ng NGA,FW,Nice,True,21.7,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False
Mostafa Mohamed,25,eg EGY,FW,Nantes,True,22.2,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True
Steve Mounié,28,bj BEN,FW,Brest,True,19.7,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True
Keito Nakamura,23,jp JPN,"FW,MF",Reims,True,15.3,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False
Iliman Ndiaye,23,sn SEN,"FW,MF",Marseille,True,18.0,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False
