player,age,nationality,position,team,top5,minutes_90s,Creativo = Low,Creativo = Average,Creativo = High,Fulcro_di_Gioco = Low,Fulcro_di_Gioco = Average,Fulcro_di_Gioco = High,Lunga_Gittata = Low,Lunga_Gittata = Average,Lunga_Gittata = High,Incontrista = Low,Incontrista = Average,Incontrista = High,Cinico = Low,Cinico = Average,Cinico = High
Óscar Melendo,25,es ESP,"MF,FW",Granada,True,12.5,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
Gonzalo Melero,29,es ESP,"MF,FW",Almería,True,12.3,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True
Brais Méndez,26,es ESP,"MF,FW",Real Sociedad,True,26.8,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False
Mikel Merino,27,es ESP,MF,Real Sociedad,True,27.6,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True
Luis Milla,28,es ESP,MF,Getafe,True,23.5,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False
Luka Modrić,37,hr CRO,MF,Real Madrid,True,18.8,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False
Jon Moncayola,25,es ESP,MF,Osasuna,True,20.0,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False
Manu Morlanes,24,es ESP,MF,Mallorca,True,17.9,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False
Iker Muñoz,20,es ESP,MF,Osasuna,True,20.6,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
Javier Muñoz,28,es ESP,MF,Las Palmas,True,29.3,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False
Roberto Navarro,21,es ESP,"MF,FW",Cádiz,True,21.0,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False
Saúl Ñíguez,28,es ESP,MF,Atlético Madrid,True,15.3,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False
Aimar Oroz,21,es ESP,MF,Osasuna,True,26.0,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
Isaac Palazón Camacho,28,es ESP,"MF,FW",Rayo Vallecano,True,31.0,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False
Daniel Parejo,34,es ESP,MF,Villarreal,True,28.7,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False
Pedri,20,es ESP,"MF,FW",Barcelona,True,16.4,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True
Francisco Perez,20,es ESP,"MF,FW",Valencia,True,22.8,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False
Máximo Perrone,20,ar ARG,MF,Las Palmas,True,18.0,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False
Beñat Prados,22,es ESP,"MF,DF",Athletic Club,True,16.1,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False
Lucas Robertone,26,ar ARG,MF,Almería,True,26.5,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False
Marc Roca,26,es ESP,MF,Betis,True,22.0,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False
Óscar Rodríguez Arnaiz,25,es ESP,"MF,FW",Getafe,True,10.7,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False
Dani Rodríguez,35,es ESP,MF,Mallorca,True,29.1,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False
Guido Rodríguez,29,ar ARG,MF,Betis,True,20.5,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False
Kirian Rodríguez,27,es ESP,MF,Las Palmas,True,35.7,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False
Oriol Romeu,31,es ESP,MF,Barcelona,True,10.4,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False
Sergio Ruiz,28,es ESP,MF,Granada,True,27.7,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False
Oihan Sancet,23,es ESP,MF,Athletic Club,True,21.9,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True
Antonio Sánchez,26,es ESP,MF,Mallorca,True,16.1,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True
Rubén Sobrino,31,es ESP,"MF,FW",Cádiz,True,18.3,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False
Boubakary Soumaré,24,fr FRA,MF,Sevilla,True,25.4,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False
Djibril Sow,26,ch SUI,MF,Sevilla,True,16.2,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
Suso,29,es ESP,"MF,FW",Sevilla,True,16.9,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False
Renato Tapia,28,pe PER,"MF,DF",Celta Vigo,True,14.9,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False
Aurélien Tchouaméni,23,fr FRA,"MF,DF",Real Madrid,True,22.1,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False
Óliver Torres,28,es ESP,MF,Sevilla,True,18.0,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False
Lucas Torró,29,es ESP,MF,Osasuna,True,19.9,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False
Viktor Tsyhankov,25,ua UKR,"MF,FW",Girona,True,22.8,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True
Beñat Turrientes,21,es ESP,MF,Real Sociedad,True,18.7,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False
Óscar Valentín,28,es ESP,MF,Rayo Vallecano,True,29.9,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False
Federico Valverde,25,uy URU,MF,Real Madrid,True,32.3,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False
José Luis García Vayá,24,es ESP,MF,Valencia,True,36.7,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False
Mikel Vesga,30,es ESP,MF,Athletic Club,True,17.0,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False
Gonzalo Villar,25,es ESP,MF,Granada,True,20.0,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False
Arsen Zakharyan,20,ru RUS,"MF,FW",Real Sociedad,True,13.6,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False
Martín Zubimendi,24,es ESP,MF,Real Sociedad,True,29.5,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True
Salis Abdul Samed,23,gh GHA,MF,Lens,True,16.9,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False
Laurent Abergel,30,fr FRA,MF,Lorient,True,31.8,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False
Maghnes Akliouche,21,fr FRA,"MF,FW",Monaco,True,17.9,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True
Jim Allevinah,28,ga GAB,"MF,DF",Clermont Foot,True,20.7,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False
Benjamin André,32,fr FRA,MF,Lille,True,28.6,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True
Arthur Atta,20,fr FRA,"MF,FW",Metz,True,10.3,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True
Neil El Aynaoui,22,fr FRA,MF,Lens,True,17.4,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False
Tiemoué Bakayoko,28,fr FRA,MF,Lorient,True,14.6,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True
Nabil Bentaleb,28,dz ALG,MF,Lille,True,21.9,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False
Hicham Boudaoui,23,dz ALG,MF,Nice,True,17.9,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
Benjamin Bourigeaud,29,fr FRA,"MF,FW",Rennes,True,26.9,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False
Lamine Camara,19,sn SEN,MF,Metz,True,25.1,False,True,False,False,True,False,False,False,True,False,False,True,True,False,False
Mahdi Camara,25,fr FRA,MF,Brest,True,22.4,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True
Mohamed Camara,23,ml MLI,MF,Monaco,True,11.5,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False
Maxence Caqueret,23,fr FRA,MF,Lyon,True,33.6,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False
Josué Casimir,21,fr FRA,"FW,DF",Le Havre,True,22.4,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
Cristian Cásseres Jr.,23,ve VEN,MF,Toulouse,True,21.6,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False
Muhammed Cham,22,at AUT,"MF,FW",Clermont Foot,True,28.4,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False
