player,age,nationality,position,team,gk_games,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_clean_sheets,gk_pens_saved,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,xg_saved,xg_saved_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
Laurent Henkinet,30,be BEL,GK,Standard Liège,1.0,1.0,6.0,6.0,9.0,3.0,44.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.44,-1.0,-1.01,0.0,5.0,0.0,30.0,7.0,16.7,25.6,2.0,0.0,23.0,0.0,0.0,2.0,16.2
Guillaume Hubert,29,be BEL,GK,RWD Molenbeek,1.0,0.2,1.0,5.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,7.0,28.6,11.0,1.0,45.5,39.8,2.0,100.0,62.5,1.0,25.0,0.0,2.0
Joachim Imbrechts,21,se SWE,GK,Union SG,1.0,0.2,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.19,0.2,0.83,0.0,1.0,0.0,5.0,3.0,20.0,29.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nordin Jackers,25,be BEL,GK,Club Brugge,3.0,2.9,3.0,1.03,12.0,9.0,75.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.26,0.0,-0.01,26.0,51.0,51.0,79.0,8.0,43.0,35.1,30.0,56.7,39.4,3.0,9.4,1.03,9.9
Hervé Koffi,26,bf BFA,GK,Charleroi,26.0,26.0,39.0,1.5,129.0,91.0,73.6,7.0,0.0,0.0,0.0,2.0,1.0,42.0,0.29,4.0,0.16,160.0,436.0,36.7,768.0,125.0,40.5,35.9,168.0,74.4,52.2,39.0,10.9,1.46,15.6
Tobe Leysen,21,be BEL,GK,OH Leuven,16.0,16.0,18.0,1.13,78.0,62.0,78.2,5.0,0.0,0.0,1.0,4.0,2.0,20.7,0.26,4.7,0.29,90.0,283.0,31.8,486.0,81.0,41.2,37.5,142.0,58.5,47.1,19.0,5.4,0.94,12.8
Heinz Lindner,33,at AUT,GK,Union SG,1.0,1.0,1.0,1.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.49,0.0,-0.02,3.0,4.0,75.0,21.0,1.0,14.3,28.0,4.0,25.0,21.5,0.0,0.0,0.0,9.0
Simon Mignolet,35,be BEL,GK,Club Brugge,28.0,27.1,26.0,0.96,86.0,60.0,69.8,9.0,0.0,0.0,2.0,0.0,0.0,25.3,0.29,-0.7,-0.03,151.0,309.0,48.9,833.0,111.0,28.8,29.9,153.0,45.1,35.7,26.0,10.6,1.92,16.4
Anthony Moris,33,lu LUX,GK,Union SG,29.0,28.8,30.0,1.04,87.0,57.0,69.0,8.0,0.0,0.0,0.0,6.0,0.0,29.8,0.32,-0.2,-0.01,156.0,342.0,45.6,885.0,119.0,33.8,34.9,113.0,38.1,37.1,21.0,6.8,1.11,15.2
Paul Nardi,29,fr FRA,GK,Gent,10.0,10.0,12.0,1.2,42.0,30.0,73.8,1.0,0.0,0.0,0.0,1.0,0.0,11.9,0.26,-0.1,-0.01,45.0,112.0,40.2,196.0,36.0,36.7,35.2,87.0,46.0,40.0,10.0,6.5,0.6,13.2
