player,age,nationality,position,team,top5,minutes_90s,Tradizionale = Low,Tradizionale = Average,Tradizionale = High,Sweeper_Keeper = Low,Sweeper_Keeper = Average,Sweeper_Keeper = High,Miracolo = Low,Miracolo = Average,Miracolo = High,Sotto_Pressione = Low,Sotto_Pressione = Average,Sotto_Pressione = High,Lancio_del_Peso = Low,Lancio_del_Peso = Average,Lancio_del_Peso = High
Luca Lezzerini,28,it ITA,GK,Brescia,False,25.0,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False
Riccardo Melgrati,29,it ITA,GK,Calcio Lecco 1912,False,22.5,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False
Alessandro Micai,30,it ITA,GK,Cosenza,False,36.6,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
Mirko Pigliacelli,30,it ITA,GK,Palermo,False,36.0,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False
Semuel Pizzignacco,21,it ITA,GK,FeralpiSalò,False,38.0,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False
Giacomo Poluzzi,35,it ITA,GK,Südtirol,False,37.0,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False
Umberto Saracco,29,it ITA,GK,Calcio Lecco 1912,False,12.5,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True
Mouhamadou Sarr,26,sn SEN,GK,Cremonese,False,12.0,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
Andrea Seculin,33,it ITA,GK,Modena,False,16.5,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False
Adrian Šemper,25,hr CRO,GK,Como,False,37.8,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False
Filip Stankovic,21,rs SRB,GK,Sampdoria,False,37.0,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
Emiliano Viviano,37,it ITA,GK,Ascoli,False,26.5,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False
Jeroen Zoet,32,nl NED,GK,Spezia,False,25.0,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False
Devis Vásquez,25,co COL,GK,Sheffield Weds/Ascoli,False,18.2,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False
Daniel Schmidt,31,jp JPN,GK,Sint-Truiden/Gent,False,12.0,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False
