"player","age","nationality","position","team","top5","minutes_90s","Creativo","Fulcro_di_Gioco","Lunga_Gittata","Incontrista","Cinico"
"Nemanja Maksimović",28,"rs SRB","MF","Getafe","True",36.3,-0.780667385017608,-1.33727126085162,-0.907994694821398,-0.470855972234212,1.30193165562036
"Iván Martín",24,"es ESP","MF","Girona","True",30.3,0.222668320361192,-0.274273762972066,-0.536159146452631,-0.574124990162695,2.02957290013297
"Marvin",23,"es ESP","FW,DF","Las Palmas","True",20.6,1.18432015004277,-1.02541916484387,-0.723492213022968,-0.0638890423604785,-0.371003952454928
"Omar Mascarell",30,"gq EQG","MF","Mallorca","True",17.5,-1.44330143624149,-1.19840513494336,-0.585177653068475,0.305890489807478,-1.3176870625196
"Óscar Melendo",25,"es ESP","MF,FW","Granada","True",12.5,-0.0769463276924177,-0.919082066032039,-0.524325308355621,-1.15054477037993,-0.318330273422677
"Gonzalo Melero",29,"es ESP","MF,FW","Almería","True",12.3,0.12303254073874,-0.342957309075241,-0.687117776578408,-0.987333938094381,0.640100470559872
"Brais Méndez",26,"es ESP","MF,FW","Real Sociedad","True",26.8,0.79548265366108,0.266023877224366,0.982326515349761,-0.561475165935484,-0.0539122313671286
"Mikel Merino",27,"es ESP","MF","Real Sociedad","True",27.6,0.0939425996732073,0.305324847632223,-1.0060279159913,0.575767984840956,0.977762715612714
"Luis Milla",28,"es ESP","MF","Getafe","True",23.5,-0.609128789165017,0.0695380450016014,0.912150108806238,0.440466790224134,-0.936741180663763
"Luka Modrić",37,"hr CRO","MF","Real Madrid","True",18.8,0.475255590199136,2.66340278075323,1.59355939665911,-0.821694353939855,0.0722632202494145
"Jon Moncayola",25,"es ESP","MF","Osasuna","True",20,-0.457866202861155,-0.357097615552956,0.800043092527113,-0.315846881894075,-0.367923372767844
"Manu Morlanes",24,"es ESP","MF","Mallorca","True",17.9,-0.512871868460434,0.273975619420443,-0.45236713426613,0.987285443570466,-0.397531424543199
"Iker Muñoz",20,"es ESP","MF","Osasuna","True",20.6,-0.81906087673364,-1.26425915855863,-0.742470255977835,-0.599100704603016,0.159233363402091
"Javier Muñoz",28,"es ESP","MF","Las Palmas","True",29.3,0.224964361364693,-0.606529702955316,-0.439018324642987,-0.558512045020973,-0.209416591261628
"Roberto Navarro",21,"es ESP","MF,FW","Cádiz","True",21,1.19235156918478,0.125952422429308,0.76954601820211,0.230603486322326,0.0153376534955287
"Saúl Ñíguez",28,"es ESP","MF","Atlético Madrid","True",15.3,-0.035443754458318,-0.739177891787567,-0.632399327083073,2.18950352973617,0.0826293597767886
"Aimar Oroz",21,"es ESP","MF","Osasuna","True",26,0.618482545756705,-0.370825373032132,-0.474662779127811,-0.43391599063099,0.126625438624085
"Isaac Palazón Camacho",28,"es ESP","MF,FW","Rayo Vallecano","True",31,0.762548787360649,-0.20581111396973,1.00589111396459,-0.5555686834011,0.273519190545244
"Daniel Parejo",34,"es ESP","MF","Villarreal","True",28.7,-1.12106984006586,0.397565941113586,0.657313485341345,-0.395813627688926,-1.06087994224004
"Pedri",20,"es ESP","MF,FW","Barcelona","True",16.4,0.800015605502534,1.67826477974366,0.0613106230055934,-0.0565244143975531,2.40053599857054
"Francisco Perez",20,"es ESP","MF,FW","Valencia","True",22.8,0.856736570160161,-0.923288379090216,-0.678495501557899,-0.543711469110089,-0.242622264590756
"Máximo Perrone",20,"ar ARG","MF","Las Palmas","True",18,-0.856153445476364,-0.679733506546956,-0.598481399528622,0.606705066025701,-0.892727541140109
"Beñat Prados",22,"es ESP","MF,DF","Athletic Club","True",16.1,-0.659021267835832,-0.353336247670286,-1.00426744432367,1.11635288359558,-0.410219414902101
"Lucas Robertone",26,"ar ARG","MF","Almería","True",26.5,-0.747902532078437,-0.0562420713431517,0.319427868038701,0.534958301623952,-1.00871858013025
"Marc Roca",26,"es ESP","MF","Betis","True",22,-0.884870141569512,-0.0246723261229635,-0.175182426756095,0.640795323043035,-0.23101722224862
"Óscar Rodríguez Arnaiz",25,"es ESP","MF,FW","Getafe","True",10.7,0.9467060035677,0.410417930960351,0.693258620168985,-0.153423040252012,-0.382300044535727
"Dani Rodríguez",35,"es ESP","MF","Mallorca","True",29.1,0.293928150695216,0.0909307347144946,1.32414501838301,-0.499037302886342,-0.214297622913874
"Guido Rodríguez",29,"ar ARG","MF","Betis","True",20.5,-1.02479777491798,-1.14391475013881,-0.638464230611685,1.02600882279599,-0.00662298389353675
